episode_number,game_number,rank_after,rank_letter,result,rank_change,level_rating,vs_level,level_style
1,1,50,D,Win,50,Boo,No,SMB3
1,2,152,D,Win,102,Boo,No,SM3DW
1,3,151,D,Loss,-1,Like,No,SM3DW
1,4,303,D,Win,152,Like,No,NSMBU
1,5,449,D,Win,146,Meh,No,SMB1
1,6,448,D,Loss,-1,Meh,No,SM3DW
1,7,590,D,Win,142,Like,Yes,SM3DW
1,8,731,D,Win,141,Like,Yes,SM3DW
1,9,725,D,Loss,-6,Boo,No,NSMBU
1,10,725,D,Loss,0,Boo,No,SM3DW
1,11,720,D,Loss,-5,Like,No,NSMBU
1,12,716,D,Loss,-4,Meh,No,SMB1
1,13,815,D,Win,99,Meh,No,SM3DW
1,14,859,D,Win,44,Like,No,SMB3
1,15,853,D,Loss,-6,Like,No,SM3DW
1,16,987,D,Win,134,None,No,SMB1
1,17,1107,C,Win,120,Like,Yes,SMB1
2,18,1091,C,Loss,-16,Meh,No,NSMB
2,19,1206,C,Win,115,Meh,No,NSMBU
2,20,1194,C,Loss,-12,Boo,No,SM3DW
2,21,1179,C,Loss,-15,Like,No,NSMBU
2,22,1176,C,Loss,-3,Boo,No,SMB1
2,23,1163,C,Loss,-13,Boo,No,NSMBU
2,24,1289,C,Win,126,Boo,No,SM3DW
2,25,1276,C,Loss,-13,Meh,No,SMW
2,26,1276,C,Draw,0,Meh,No,SMB1
2,27,1261,C,Loss,-15,Like,No,SMW
2,28,1247,C,Loss,-14,Like,Yes,SMB3
2,29,1372,C,Win,125,Boo,No,SM3DW
2,30,1488,C,Win,116,Like,No,NSMBU
3,31,1472,C,Loss,-16,Boo,No,SMB
3,32,1456,C,Loss,-16,Like,No,SMW
3,33,1443,C,Loss,-13,Boo,No,SM3DW
3,34,1431,C,Loss,-12,Meh,No,SM3DW
3,35,1571,C,Win,140,Meh,No,NSMBU
3,36,1558,C,Loss,-13,Boo,No,SM3DW
3,37,1543,C,Loss,-15,Like,No,SM3DW
3,38,1650,C,Win,107,Boo,No,SMW
3,39,1764,C,Win,114,Boo,No,SM3DW
3,40,1761,C,Loss,-3,Boo,No,SM3DW
3,41,1746,C,Loss,-15,None,Yes,SMB3
3,42,1880,C,Win,134,Meh,No,SM3DW
3,43,1983,C,Win,103,Like,No,SM3DW
3,44,1968,C,Loss,-15,Like,No,SM3DW
3,45,1955,C,Loss,-13,Boo,Yes,NSMBU
3,46,2061,B,Win,106,Like,No,SMW
4,47,2040,B,Loss,-21,Like,No,SM
4,48,2106,B,Win,66,Meh,No,SMB1
4,49,2171,B,Win,65,Like,No,NSMBU
4,50,2151,B,Loss,-20,Boo,No,SM3DW
4,51,2203,B,Win,52,Like,No,NSMBU
4,52,2187,B,Loss,-18,Like,No,NSMBU
4,53,2169,B,Loss,-18,Boo,No,SMB1
4,54,2232,B,Win,63,Like,No,SMB1
4,55,2294,B,Win,62,Like,No,SM3DW
4,56,2279,B,Loss,-15,Boo,No,SMW
4,57,2264,B,Loss,-15,None,No,NSMBU
4,58,2261,B,Loss,-3,Meh,No,SM3DW
4,59,2244,B,Loss,-17,Boo,No,SMB1
4,60,2228,B,Loss,-16,Meh,No,SMB3
4,61,2211,B,Loss,-17,Meh,No,SM3DW
4,62,2268,B,Win,57,Like,Yes,NSMBU
4,63,2265,B,Loss,-3,Boo,No,SM3DW
4,64,2330,B,Win,65,None,No,NSMBU
5,65,2310,B,Loss,-20,Unknown,Unknown,Unknown
5,66,2296,B,Loss,-14,None,No,SMB1
5,67,2283,B,Loss,-13,None,No,SMB3
5,68,2269,B,Loss,-14,Like,No,SMW
5,69,2334,B,Win,65,None,No,SM3DW
5,70,2394,B,Win,60,Like,No,SMW
5,71,2376,B,Loss,-18,Like,No,SMW
5,72,2359,B,Loss,-17,Boo,No,SMB1
5,73,2428,B,Win,69,Boo,No,SMB1
5,74,2424,B,Loss,-4,Boo,No,SMB1
5,75,2405,B,Loss,-19,None,No,SM3DW
5,76,2464,B,Win,59,None,No,NSMBU
5,77,2445,B,Loss,-19,Like,No,SMB3
5,78,2430,B,Loss,-15,None,No,SMB1
5,79,2480,B,Win,50,Meh,No,SM3DW
5,80,2550,B,Win,70,Like,No,SMB3
5,81,2531,B,Loss,-19,Boo,No,SMW
5,82,2514,B,Loss,-17,Boo,No,SM3DW
5,83,2510,B,Loss,-4,Meh,No,SM3DW
5,84,2507,B,Loss,-3,Boo,No,SM3DW
5,85,2488,B,Loss,-19,Boo,No,SMB3
5,86,2472,B,Loss,-16,Boo,No,SMW
5,87,2458,B,Loss,-14,Meh,No,SMB1
5,88,2528,B,Win,70,Boo,No,NSMBU
6,89,2509,B,Loss,-19,Like,No,SM
6,90,2490,B,Loss,-19,Boo,No,NSMBU
6,91,2488,B,Loss,-2,Boo,No,SM3DW
6,92,2468,B,Loss,-20,Like,No,SMB3
6,93,2447,B,Loss,-21,Meh,Yes,SMW
6,94,2429,B,Loss,-18,Like,No,NSMBU
6,95,2412,B,Loss,-17,Meh,No,SM3DW
6,96,2397,B,Loss,-15,Like,No,NSMBU
6,97,2455,B,Win,58,Boo,No,SMB1
6,98,2451,B,Loss,-4,Boo,No,NSMBU
6,99,2447,B,Loss,-4,Boo,No,SM3DW
6,100,2444,B,Loss,-3,Meh,No,SM3DW
6,101,2423,B,Loss,-21,Meh,No,SMW
6,102,2407,B,Loss,-16,Boo,No,SMB1
6,103,2472,B,Win,65,Meh,No,SM3DW
6,104,2472,B,Draw,0,Boo,No,SMB1
6,105,2452,B,Loss,-20,Boo,No,SM3DW
6,106,2509,B,Win,57,Like,Yes,NSMBU
6,107,2494,B,Loss,-15,None,No,SMW
7,108,2475,B,Loss,-19,Boo,No,NSMB
7,109,2472,B,Loss,-3,Meh,No,SM3DW
7,110,2455,B,Loss,-17,None,No,SM3DW
7,111,2452,B,Loss,-3,Boo,No,SMB1
